Operado,Operacion,Especie,Cantidad,Precio,Importe,mep,Precio_usd,Inversion_usd,Ticker,tipo,Posicion_Acum,Es_Cierre,ID_Trade,Estado_Trade,Posicion_Acum_Redondeada,Estado_Trade_Corregido,Precio_Actual_ARS,Precio_Actual_USD,Valor_Actual_USD_Fila
2023-12-06,Venta,HAVANNA HOLDING ACC.ORD,-26.0,5190.02,134940.41,936.93,5.54,-144.04,HAVA,Acción Arg,0.0,True,2,Cerrado,0.0,Cerrado,5130.0,3.5793777604119423,0.0
2024-02-09,Compra,HAVANNA HOLDING ACC.ORD,12.0,7877.86,-94534.36,1173.36,6.71,80.52,HAVA,Acción Arg,12.0,False,3,Abierto,12.0,Abierto,5130.0,3.5793777604119423,42.95253312494331
2024-09-20,Compra,HAVANNA HOLDING ACC.ORD,12.0,5856.25,-70275.03,1200.1,4.88,58.56,HAVA,Acción Arg,24.0,False,3,Abierto,24.0,Abierto,5130.0,3.5793777604119423,85.90506624988662
2024-11-15,Compra,HAVANNA HOLDING ACC.ORD,2.0,5996.65,-11993.29,1096.02,5.47,10.94,HAVA,Acción Arg,26.0,False,3,Abierto,26.0,Abierto,5130.0,3.5793777604119423,93.0638217707105
2025-01-31,Compra,HAVANNA HOLDING ACC.ORD,16.0,6297.48,-100759.63,1164.79,5.41,86.56,HAVA,Acción Arg,42.0,False,3,Abierto,42.0,Abierto,5130.0,3.5793777604119423,150.33386593730157
2025-05-06,Compra,HAVANNA HOLDING ACC.ORD,16.0,6367.67,-101882.75,1199.61,5.31,84.96,HAVA,Acción Arg,58.0,False,3,Abierto,58.0,Abierto,5130.0,3.5793777604119423,207.60391010389264
2023-08-29,Compra,INVERSORA JURAMENTO SA,285.0,186.729,-53217.7,671.02,0.28,79.8,INJU,Acción Arg,285.0,False,1,Cerrado,285.0,Cerrado,,,
2023-11-09,Compra,INVERSORA JURAMENTO SA,190.0,182.506,-34676.23,863.3,0.21,39.9,INJU,Acción Arg,475.0,False,1,Cerrado,475.0,Cerrado,,,
2023-12-07,Venta,INVERSORA JURAMENTO SA,-475.0,367.921,174762.27,986.37,0.37,-175.75,INJU,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,,,
2024-10-04,Compra,INVERSORA JURAMENTO SA,300.0,405.124,-121537.3,1187.52,0.34,102.0,INJU,Acción Arg,300.0,False,2,Cerrado,300.0,Cerrado,,,
2025-02-25,Venta,INVERSORA JURAMENTO SA,-300.0,355.395,106618.46,1211.96,0.29,-87.0,INJU,Acción Arg,0.0,True,2,Cerrado,0.0,Cerrado,,,
2023-07-11,Compra,IRSA ESCRIT. ORD. 1 V,0.955626084,431.60186489844705,-412.45,484.06,0.8894692330311068,0.85,IRSA,Acción Arg,0.955626084,True,1,Abierto,0.0,Cerrado,2120.0,1.4791970471877813,0.0
2023-07-27,Compra,IRSA ESCRIT. ORD. 1 V,267.57530352,440.2004162958783,-117786.89,505.75,0.8685405451950807,232.4,IRSA,Acción Arg,268.530929604,False,2,Abierto,268.53,Cerrado,2120.0,1.4791970471877813,397.2087830813349
2023-08-03,Compra,IRSA ESCRIT. ORD. 1 V,28.668782519999997,444.92297470607764,-12755.4,513.99,0.8685405451950807,24.9,IRSA,Acción Arg,297.199712124,False,2,Abierto,297.2,Cerrado,2120.0,1.4791970471877813,439.6173624242086
2023-08-03,Venta,IRSA ESCRIT. ORD. 1 V,-28.668782519999997,443.49668463005247,12714.51,513.99,0.8580762012770677,-24.6,IRSA,Acción Arg,268.530929604,False,2,Abierto,268.53,Cerrado,2120.0,1.4791970471877813,397.2087830813349
2023-08-04,Compra,IRSA ESCRIT. ORD. 1 V,25.801904267999998,444.76810241609104,-11475.86,514.71,0.8685405451950807,22.41,IRSA,Acción Arg,294.332833872,False,2,Abierto,294.33,Cerrado,2120.0,1.4791970471877813,435.3720668987797
2023-08-04,Venta,IRSA ESCRIT. ORD. 1 V,-25.801904267999998,444.57765135678324,11470.95,514.71,0.8685405451950807,-22.41,IRSA,Acción Arg,268.530929604,False,2,Abierto,268.53,Cerrado,2120.0,1.4791970471877813,397.2087830813349
2023-08-14,Compra,IRSA ESCRIT. ORD. 1 V,4.778130419999999,483.96753473296786,-2312.46,621.14,0.7743614499329636,3.7,IRSA,Acción Arg,273.309060024,False,2,Abierto,273.31,Cerrado,2120.0,1.4791970471877813,404.2793449668925
2023-08-14,Venta,IRSA ESCRIT. ORD. 1 V,-4.778130419999999,490.45333509335234,2343.45,621.14,0.7848257938509766,-3.75,IRSA,Acción Arg,268.530929604,False,2,Abierto,268.53,Cerrado,2120.0,1.4791970471877813,397.2087830813349
2023-12-07,Venta,IRSA ESCRIT. ORD. 1 V,-268.324,860.0511583011584,230772.48,986.37,0.8687258687258688,-233.1,IRSA,Acción Arg,0.20692960399998128,True,2,Abierto,0.0,Cerrado,2120.0,1.4791970471877813,0.0
2024-07-22,Compra,IRSA ESCRIT. ORD. 1 V,82.88,1224.4401544401544,-101481.64,1333.37,0.9169884169884169,76.0,IRSA,Acción Arg,83.08692960399998,False,3,Abierto,83.09,Cerrado,2120.0,1.4791970471877813,122.90648265083276
2024-08-16,Venta,IRSA ESCRIT. ORD. 1 V,-82.88,1328.3397683397684,110092.76,1295.3,1.0231660231660231,-84.8,IRSA,Acción Arg,0.20692960399998128,True,3,Abierto,0.0,Cerrado,2120.0,1.4791970471877813,0.0
2024-07-22,Compra,ACC.ORD. LOMA NEGRA S.A. 1 VOTO $ ESC.,60.0,1845.12,-110707.24,1333.37,1.38,82.8,LOMA,Acción Arg,60.0,False,1,Cerrado,60.0,Cerrado,3152.5,2.199607873235604,131.97647239413624
