Operado;Operación;Especie;Cantidad;Precio;Importe;mep;Precio_usd;Inversion_usd;Ticker;Empresa;Ratio;tipo
2024-09-11;VTAS;BONO REP. ARGENTINA USD STEP UP 2030;-100.0;69059.32;69059.32;1230.16;56.14;-5614.0;;;;bonos
2024-09-11;CPU$;BONO REP. ARGENTINA USD STEP UP 2030;100.0;;-87.39;1230.16;;;;;;bonos
2024-09-10;CPRA;CEDEAR COCA-COLA;5.0;52746.39;-263731.93;1230.44;42.87;214.35;KO;The Coca Cola Company;5.0;accion
2024-09-10;CPRA;CEDEAR INVESCO QQQ TRUST;8.0;28629.46;-229035.64;1230.44;23.27;186.16;QQQ;INVESCO QQQ TRUST;20.0;accion
2024-09-10;VTAS;CEDEAR AT&T INC SA;-55.0;8984.93;494170.88;1230.44;7.3;-401.5;T;At &T Inc.;3.0;accion
2024-09-06;VTAS;CEDEAR OCCIDENTAL PETROLEUM CORP.;-10.0;12988.75;129887.51;1243.87;10.44;-104.4;OXY;Occidental Petroleum Corp.;5.0;accion
2024-09-06;CPRA;CEDEAR NVIDIA CORPORATION;25.0;5414.23;-135355.64;1243.87;4.35;108.75;NVDA;Nvidia Corporation;24.0;accion
2024-09-05;CPRA;CEDEAR PFIZER INC;14.0;9105.27;-127473.78;1258.82;7.23;101.22;PFE;Pfizer Inc.;4.0;accion
2024-09-05;VTAS;EDENOR S.A. B 1 VOTO;-100.0;1331.29;133128.47;1258.82;1.06;-106.0;;;;bonos
2024-09-05;RTA;BONO PCIA BS AS REGS NEW U$S 2037;;;;1258.82;;;;;;bonos
2024-09-05;DIV;CEDEAR PFIZER INC;;;;1258.82;;;PFE;Pfizer Inc.;4.0;accion
2024-09-05;VTAS;BONO DEL TESORO BONCER 2% $ 2026;-300.0;1859.02;5577.06;1258.82;1.48;-444.0;;;;bonos
2024-09-03;CPRA;BONOS REP. ARG. U$S 1% STEP UP V09/07/29;12.0;79126.42;-9495.17;1294.46;61.13;733.56;;;;bonos
2024-09-03;CPRA;CEDEAR HERSHEY;35.0;12284.09;-429943.22;1294.46;9.49;332.15;HSY;The Hershey Company;21.0;accion
2024-09-03;VTAS;CEDEAR COCA COLA COMPANY;-23.0;19021.91;437504.03;1294.46;14.69;-337.87;KO;The Coca Cola Company;5.0;accion
2024-09-03;DIV;BONO PCIA BS AS REGS NEW U$S 2037 B;;;;1294.46;;;;;;bonos
2024-09-03;RTA;BOPREAL S.3 VTO31/05/26 U$S CG;;;;1294.46;;;;;;bonos
2024-09-03;DIV;CEDEAR PAN AMERICAN SILVER CORP;;;;1294.46;;;PAAS;Pan American Silver Corp.;3.0;accion
2024-09-03;DIV;CEDEAR STARBUCKS CORP;;;;1294.46;;;SBUX;Starbucks Corporation;12.0;accion
2024-09-02;CPRA;BONOS REP. ARG. U$S STEP UP V.09/07/30;1084.0;71964.96;-780100.17;1285.01;56.0;60704.0;;;;bonos
2024-09-02;VTAS;BONO REP. ARGENTINA USD STEP UP 2030;-1106.0;70357.25;778151.16;1285.01;54.75;-60553.5;;;;bonos
2024-08-29;DIV;CEDEAR PETROLEO BRASILEIRO S.A. (PBR);;;;1271.33;;;PBR;Petrobras (ADR);1.0;accion
2024-08-19;VTAS;BONO DEL TESORO BONCER 2% $ 2026;-350.0;1800.61;6302.15;1290.1;1.4;-490.0;;;;bonos
2024-08-19;VTAS;CEDEAR MC DONALDS CORP;-7.0;15357.14;107499.99;1290.1;11.9;-83.3;MCD;Mcdonald'S Corp.;24.0;accion
2024-08-19;CPRA;CEDEAR QUALCOMM;11.0;20315.47;-223470.2;1290.1;15.75;173.25;QCOM;Qualcomm Inc.;11.0;accion
2024-08-16;VTAS;IRSA ESCRIT. ORD. 1 V;-80.0;1376.16;110092.76;1295.3;1.06;-84.8;;;;bonos
2024-08-16;VTAS;ON CENT.TERM/GEN.MED 21 U$S V17/04/25;-527.0;73082.88;385146.77;1295.3;56.42;-29733.34;;;;bonos
2024-08-16;CPRA;ON ALBANESI ENERGIA 10 V21/09/25 U$S CG;596.0;73296.3;-436845.93;1295.3;56.59;33727.64;;;;bonos
2024-08-15;CPRA;BONOS REP ARG A LA PAR $ STEP UP 2038;175.0;14623.37;-25590.89;1276.21;11.46;2005.5;;;;bonos
2024-08-15;CPRA;CEDEAR SNOWFLAKE INC;22.0;5455.14;-120013.06;1276.21;4.27;93.94;SNOW;Snowflake Inc.;30.0;accion
2024-08-15;VTAS;CEDEAR ALIBABA GROUP HOLDING LIMITED;-22.0;11193.76;246262.73;1276.21;8.77;-192.94;BABA;Alibaba Group Holding Limited;9.0;accion
2024-08-15;CPRA;ON ALBANESI ENERGIA 10 V21/09/25 U$S CG;86.0;72012.01;-61930.33;1276.21;56.43;4852.98;;;;bonos
2024-08-13;CPRA;BONOS REP ARG CUASI PAR $ 3,31% 2045;550.0;18128.96;-99709.29;1272.49;14.25;7837.5;;;;bonos
2024-08-13;CPRA;ON CLISA REGS 25/07/2027;300.0;29957.86;-89873.57;1272.49;23.54;7062.0;;;;bonos
2024-08-13;CPRA;BONOS REP ARG A LA PAR $ STEP UP 2038;700.0;14443.07;-101101.5;1272.49;11.35;7945.0;;;;bonos
2024-08-13;CPRA;BOPREAL S.3 VTO31/05/26 U$S CG;200.0;96454.08;-192908.16;1272.49;75.8;15160.0;;;;bonos
2024-08-13;CPRA;ON ALBANESI ENERGIA 10 V21/09/25 U$S CG;200.0;75811.11;-151622.21;1272.49;59.58;11916.0;;;;bonos
2024-08-13;CPU$;BONO REP. ARGENTINA USD STEP UP 2038;225.0;;-152.23;1272.49;;;;;;bonos
2024-08-13;COBR;;;;645696.42;1272.49;;;;;;bonos
2024-08-12;CPRA;BONO REP. ARGENTINA USD STEP UP 2038;220.0;56279.91;-123815.79;1284.35;43.82;9640.4;;;;bonos
2024-08-12;VTAS;TRANSENER S.A. ESCRIT. B 1 VOTO;-73.0;1715.21;125210.56;1284.35;1.34;-97.82;;;;bonos
2024-08-12;DIV;CEDEAR BANCO BRADESCO SA;;;;1284.35;;;BBD;Banco Bradesco S.A.;1.0;accion
2024-08-07;CPRA;ON ALBANESI ENERGIA 10 V21/09/25 U$S CG;206.0;80829.12;-166507.98;1331.95;60.68;12500.08;;;;bonos
2024-08-07;VTAS;ON CENT.TERM/GEN.MED 21 U$S V17/04/25;-185.0;88558.08;163832.45;1331.95;66.49;-12300.65;;;;bonos
2024-08-05;CPRA;CEDEAR SNOWFLAKE INC;1.0;5054.02;-5054.02;1346.09;3.75;3.75;SNOW;Snowflake Inc.;30.0;accion
2024-08-05;CPU$;BONO PCIA BS AS REGS NEW U$S 2037 B;360.0;;-219.69;1346.09;;;;;;bonos
2024-08-05;CPRA;CEDEAR MICROSOFT CORP.;6.0;17899.68;-107398.06;1346.09;13.3;79.8;MSFT;Microsoft Corp.;30.0;accion
2024-08-05;DIV;CEDEAR AT&T INC SA;;;;1346.09;;;T;At &T Inc.;3.0;accion
2024-08-02;VTAS;AMERICAN INTERNACIONAL GROUP INC.;-6.0;18947.12;113682.74;1334.04;14.2;-85.2;;;;bonos
2024-08-02;CPRA;CEDEAR AMAZON.COM, INC;122.0;1504.18;-183509.29;1334.04;1.13;137.86;AMZN;Amazon.Com, Inc.;144.0;accion
2024-08-02;VTAS;BONO REP. ARGENTINA USD STEP UP 2030;-300.0;61701.12;185103.36;1334.04;46.25;-13875.0;;;;bonos
2024-07-31;CPRA;ON ALBANESI ENERGIA 10 V21/09/25 U$S CG;194.0;79595.04;-154414.37;1293.33;61.54;11938.76;;;;bonos
2024-07-31;VTAS;ON CENT.TERM/GEN.MED 21 U$S V17/04/25;-178.0;87359.99;155500.79;1293.33;67.55;-12023.9;;;;bonos
2024-07-29;CPRA;ON ALBANESI ENERGIA 10 V21/09/25 U$S CG;155.0;80117.99;-124182.88;1296.57;61.79;9577.45;;;;bonos
2024-07-29;VTAS;BONO REP. ARGENTINA USD STEP UP 2030;-200.0;62270.21;124540.42;1296.57;48.03;-9606.0;;;;bonos
2024-07-29;CPU$;BONO REP. ARGENTINA USD STEP UP 2030;200.0;;-146.31;1296.57;;;;;;bonos
2024-07-29;CPU$;LT P NEUQUEN D1739/23 S1 CL1 V19/04/26;100.0;;-142.74;1296.57;;;;;;bonos
2024-07-29;CPU$;BOPREAL S. 1 D VTO31/10/27 U$S CG;100.0;;-107.15;1296.57;;;;;;bonos
2024-07-29;CPU$;BOPREAL S.3 VTO31/05/26 U$S CG;200.0;;-227.97;1296.57;;;;;;bonos
2024-07-29;CPU$;ON CLISA REGS 25/07/2027;500.0;;-174.81;1296.57;;;;;;bonos
2024-07-22;CPRA;ACC.ORD. LOMA NEGRA S.A. 1 VOTO $ ESC.;60.0;1845.12;-110707.24;1333.37;1.38;82.8;;;;bonos
2024-07-22;CPRA;IRSA ESCRIT. ORD. 1 V;80.0;1268.52;-101481.64;1333.37;0.95;76.0;;;;bonos
2024-07-22;CPRA;CONSULTATIO SA ORD 1 VOTO;50.0;2060.72;-103035.96;1333.37;1.55;77.5;;;;bonos
