fecha;Operacion;Ticker;Precio_USA;Cantidad_USA;Inversion_USA;Broker;tipo;Posicion_Acum;Es_Cierre;ID_Trade;Precio_Unitario;PPP_Actual;Estado_Trade
2023-06-06;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-06-07;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-06-07;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-06-07;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-06-07;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-06-13;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-06-15;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-06-15;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-06-22;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-06-22;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-06-22;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-06-22;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-06-26;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-06-27;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-06-30;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-04;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-05;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-05;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-05;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-07-06;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-07-06;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-07-07;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-10;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-07-11;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-11;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-12;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-14;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-17;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-19;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-19;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-19;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-19;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-07-20;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-07-20;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-20;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-20;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-21;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-07-21;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-24;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-07-24;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-26;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-07-26;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-07-27;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-27;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-07-27;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-27;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-27;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-07-27;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-28;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-07-28;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-31;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-07-31;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-07-31;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-07-31;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-07-31;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-01;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-02;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-02;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-02;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-02;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-02;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-02;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-02;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-02;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-03;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-03;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-03;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-03;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-04;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-04;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-04;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-04;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-04;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-04;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-04;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-07;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-08;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-08;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-08;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-08;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-09;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-10;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-10;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-10;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-10;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-11;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-11;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-11;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-11;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-11;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-11;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-11;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-14;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-14;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-14;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-14;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-14;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-14;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-14;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-14;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-14;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-15;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-15;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-15;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-15;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-17;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-17;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-18;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-18;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-18;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-25;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-29;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-29;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-29;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-08-29;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-29;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-29;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-29;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-29;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-29;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-08-29;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-09-06;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-09-08;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-10-09;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-10-17;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-10-17;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-10-18;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-10-31;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-10-31;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-11-09;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-11-09;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-11-09;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-11-09;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-11-16;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-11-16;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-12-06;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-12-06;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-12-06;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-12-06;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-12-07;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-12-07;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-12-07;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-12-11;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-12-21;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-12-21;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-12-29;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-12-29;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-01-16;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-01-16;Venta;;;;;Veta;bonos;;0;;;;Abierto
2024-01-16;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-01-16;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-01-17;Venta;;;;;Veta;bonos;;0;;;;Abierto
2024-01-17;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-01-25;Venta;;;;;Veta;bonos;;0;;;;Abierto
2024-01-31;Venta;;;;;Veta;bonos;;0;;;;Abierto
2024-01-31;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-01-31;Venta;;;;;Veta;bonos;;0;;;;Abierto
2024-01-31;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-01-31;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-01-31;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-01-31;Venta;;;;;Veta;bonos;;0;;;;Abierto
2024-02-05;Venta;;;;;Veta;bonos;;0;;;;Abierto
2024-02-05;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-02-09;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-02-09;Venta;;;;;Veta;bonos;;0;;;;Abierto
2024-02-27;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-02-27;Venta;;;;;Veta;bonos;;0;;;;Abierto
2024-03-05;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-03-05;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-03-05;Venta;;;;;Veta;bonos;;0;;;;Abierto
2024-04-09;Venta;;;;;Veta;bonos;;0;;;;Abierto
2024-04-10;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-04-11;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-04-12;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-06-14;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-06-14;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-06-14;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-06-28;Venta;;;;;Veta;bonos;;0;;;;Abierto
2024-07-02;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-07-08;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-07-08;Venta;;;;;Veta;bonos;;0;;;;Abierto
2024-07-10;Compra;;;;;Veta;bonos;;0;;;;Abierto
2024-07-10;Venta;;;;;Veta;bonos;;0;;;;Abierto
